NO,X1_1,X1_2,X1_3,X1_4,X1_5,X2_1,X2_2,X2_3,X2_4,Z_1,Z_2,Z_3,Z_4,Z_5,Y_1,Y_2,Y_3,Y_4,Y_5
1.0,4.0,2.0,4.0,5.0,3.0,5.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,2.0,3.0,5.0,4.0
2.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,5.0
3.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0
4.0,4.0,2.0,5.0,2.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0
5.0,4.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0
6.0,5.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,5.0,5.0,4.0,2.0,3.0,5.0,2.0,2.0
7.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,2.0,2.0,3.0
8.0,2.0,2.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0
9.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,4.0,5.0,4.0,2.0
10.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,3.0
11.0,4.0,5.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0
12.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,4.0,2.0,5.0,5.0
13.0,4.0,5.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0
14.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
15.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,2.0,5.0,3.0
16.0,2.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0
17.0,5.0,2.0,5.0,3.0,2.0,5.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,5.0
18.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0
19.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0
20.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0
21.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,3.0,3.0,5.0
22.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,4.0
