month;total_orders;total_revenue;avg_order_value
01/01/25 00.00;35;62272494792269800;6695967181964490
01/02/25 00.00;33;4740957731451670;5643997299347230
01/03/25 00.00;37;64985558342307100;6498555834230710
01/04/25 00.00;35;41732069744902300;47967896258508400
01/05/25 00.00;41;6293834636144560;5,99413E+14
01/06/25 00.00;52;8503713728973610;6299047206647110
01/07/25 00.00;55;9837730881135380;7026950629382410
01/08/25 00.00;74;10127874987652000;5,72196E+14
01/09/25 00.00;67;1389573424006860;8173961317687460
01/10/25 00.00;44;50066105411052300;4037589146052600
