SELECT;;;;
    products.product_name;;;;
    categories.category_name;;;;
    products.unit_price;;;;
    CASE;;;;
        WHEN products.unit_price < 10 THEN '<10';;;;
        WHEN products.unit_price BETWEEN 10 AND 20 THEN '10-20';;;;
        WHEN products.unit_price BETWEEN 20 AND 50 THEN '20-50';;;;
        ELSE '>50';;;;
    END AS price_range;;;;
    ROUND(SUM(order_details.unit_price * order_details.quantity * (1 - order_details.discount))::numeric; 2) AS total_revenue;;;
FROM order_details;;;;
JOIN orders ON order_details.order_id = orders.order_id;;;;
JOIN products ON order_details.product_id = products.product_id;;;;
JOIN categories ON products.category_id = categories.category_id;;;;
WHERE EXTRACT(YEAR FROM orders.order_date) = 2025;;;;
GROUP BY products.product_name; categories.category_name; products.unit_price;;
ORDER BY total_revenue DESC;;;;
"LIMIT 10;";;;;
;;;;
;;;;
product_name;category_name;unit_price;price_range;total_revenue
Côte de Blaye;Beverages;263.05.00;>50;78588.87
Thüringer Rostbratwurst;Meat/Poultry;123.79;>50;57042.43
Raclette Courdavault;Dairy Products;55;>50;43626.00
Camembert Pierrot;Dairy Products;34;20-50;29934.62
Tarte au sucre;Confections;49.03.00;20-50;28256.29
Manjimup Dried Apples;Produce;53;>50;26513.25
Gnocchi di nonna Alice;Grains/Cereals;38;20-50;22877.90
Alice Mutton;Meat/Poultry;39;20-50;19055.40
Carnarvon Tigers;Seafood;62.05.00;>50;18584.37
Uncle Bob's Organic Dried Pears;Produce;30;20-50;18532.50
;;;;
